name,url,remote_testing,adaptive_support,duration_minutes,test_type,search_text,test_type,job_levels,languages,description
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,,Personality & Behavior,"Digital Readiness Development Report - IC. This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers).. Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (seeDigital Readiness Report - Managers)."
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,,Personality & Behavior,"Digital Readiness Development Report - Manager. This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (seeDigital Readiness Report - IC).. Job Levels: Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director. Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No",P,"Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director",,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (seeDigital Readiness Report - IC)."
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,Yes,No,10.0,Knowledge & Skills,"Docker (New). Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 10 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm."
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,Yes,No,11.0,Knowledge & Skills,"Dojo (New). Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 11 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries."
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,17.0,Knowledge & Skills,"Drupal (New). Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 17 minutes. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security."
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,,Personality & Behavior,DSI v1.1 Interpretation Report. DSI v1.1 Interpretation Report. Job Levels: . Test Includes: Personality & Behavior. Duration: Not Specified. Remote: Yes. Adaptive: No,P,,"Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian",DSI v1.1 Interpretation Report
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,Yes,No,11.0,Knowledge & Skills,"Econometrics (New). Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 11 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data."
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,Yes,No,13.0,Knowledge & Skills,"Economics (New). Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 13 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade."
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,14.0,Knowledge & Skills,"Electrical and Electronics Engineering (New). Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 14 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics."
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,,Knowledge & Skills,"Electrical Engineering (New). Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics."
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,15.0,Knowledge & Skills,"Electronics & Telecommunications Engineering (New). Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 15 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering."
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,18.0,Knowledge & Skills,"Electronics and Embedded Systems Engineering (New). Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 18 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics."
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,,Knowledge & Skills,"Electronics and Semiconductor Engineering (New). Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI."
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,,Knowledge & Skills,"English Comprehension (New). Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.. Job Levels: Entry-Level. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,Entry-Level,English (USA),"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills."
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Yes,Yes,49.0,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement","Account Manager Solution. The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.. Job Levels: Mid-Professional. Test Includes: Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement. Duration: 49 minutes. Remote: Yes. Adaptive: Yes","C, P, A, B",Mid-Professional,English (USA),"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available."
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,36.0,"Ability & Aptitude, Knowledge & Skills, Personality & Behavior","Administrative Professional - Short Form. The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.. Job Levels: Entry-Level. Test Includes: Ability & Aptitude, Knowledge & Skills, Personality & Behavior. Duration: 36 minutes. Remote: Yes. Adaptive: Yes","A, K, P",Entry-Level,English (USA),"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate."
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Yes,Yes,51.0,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations","Agency Manager Solution. The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.. Job Levels: Front Line Manager, Manager, Supervisor. Test Includes: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations. Duration: 51 minutes. Remote: Yes. Adaptive: Yes","A, B, P, S","Front Line Manager, Manager, Supervisor",English (USA),"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available."
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,30.0,"Biodata & Situational Judgement, Personality & Behavior","Apprentice + 8.0 Job Focused Assessment. The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.. Job Levels: General Population, Graduate, Entry-Level. Test Includes: Biodata & Situational Judgement, Personality & Behavior. Duration: 30 minutes. Remote: Yes. Adaptive: No","B, P","General Population, Graduate, Entry-Level","English International, German","The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions."
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,20.0,"Biodata & Situational Judgement, Personality & Behavior","Apprentice 8.0 Job Focused Assessment. The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.. Job Levels: Entry-Level, General Population, Graduate. Test Includes: Biodata & Situational Judgement, Personality & Behavior. Duration: 20 minutes. Remote: Yes. Adaptive: No","B, P","Entry-Level, General Population, Graduate","English International, German, French","The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions."
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,35.0,"Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior","Bank Administrative Assistant - Short Form. The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.. Job Levels: Entry-Level. Test Includes: Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior. Duration: 35 minutes. Remote: Yes. Adaptive: No","A, B, K, P",Entry-Level,English (USA),"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available."
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,45.0,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior","Bank Collections Agent - Short Form. This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.. Job Levels: Entry-Level. Test Includes: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior. Duration: 45 minutes. Remote: Yes. Adaptive: No","A, B, P",Entry-Level,English (USA),"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available."
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,45.0,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations","Bank Operations Supervisor - Short Form. The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.. Job Levels: Front Line Manager, Manager, Supervisor. Test Includes: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations. Duration: 45 minutes. Remote: Yes. Adaptive: Yes","A, B, P, S","Front Line Manager, Manager, Supervisor",English (USA),"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available."
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,43.0,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude","Bilingual Spanish Reservation Agent Solution. The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.. Job Levels: Entry-Level. Test Includes: Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude. Duration: 43 minutes. Remote: Yes. Adaptive: Yes","B, P, S, A",Entry-Level,"English (USA), Latin American Spanish","The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available."
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,49.0,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude","Bookkeeping, Accounting, Auditing Clerk Short Form. The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.. Job Levels: Entry-Level. Test Includes: Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude. Duration: 49 minutes. Remote: Yes. Adaptive: Yes","P, S, K, B, A",Entry-Level,English (USA),"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk."
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,No,50.0,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior","Branch Manager - Short Form. This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.. Job Levels: Front Line Manager, Manager, Supervisor. Test Includes: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior. Duration: 50 minutes. Remote: Yes. Adaptive: No","A, B, P","Front Line Manager, Manager, Supervisor",English (USA),"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available."
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,28.0,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior","Cashier Solution. The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.. Job Levels: Entry-Level. Test Includes: Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior. Duration: 28 minutes. Remote: Yes. Adaptive: Yes","B, A, P",Entry-Level,English (USA),"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available."
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,,Biodata & Situational Judgement,"Executive Scenarios Profile Report. Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades.. Job Levels: Director, Executive, Manager. Test Includes: Biodata & Situational Judgement. Duration: Not Specified. Remote: Yes. Adaptive: No",B,"Director, Executive, Manager",,"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.

Reports available: 

Executive Scenarios Narrative Report:  A participant focused report that contains;  
 - Executive Scenarios profile
 - VERY detailed narrative feedback of each of the 4 scales;  Managerial Judgement, Managing Objectives, People Management and Reputation Management.
 - Development tips for each of the 6 style scales;  Leading and Managing the work, Using external help, One-to-one, Workforce, Organisational support, Commercial support.

Executive Scenarios Profile: Displays all scores on these scales in terms of four types of norm system; T-scores, Percentiles, Stens and Grades."
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,Yes,No,,Knowledge & Skills,"ExpressJS (New). Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.. Job Levels: Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS."
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,Yes,No,,Knowledge & Skills,Filing - Names (R1). This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.. Job Levels: Entry-Level. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No,K,Entry-Level,English (USA),This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,Yes,No,,Knowledge & Skills,"Filing - Numbers. This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.. Job Levels: Entry-Level. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,Entry-Level,English (USA),"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab."
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,Yes,No,,Knowledge & Skills,"Financial Accounting (New). Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.. Job Levels: Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios."
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,,Knowledge & Skills,"Financial and Banking Services (New). Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.. Job Levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics."
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,Yes,No,10.0,Knowledge & Skills,"Fire Engineering (New). Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.. Job Levels: Graduate, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: 10 minutes. Remote: Yes. Adaptive: No",K,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management."
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,,Knowledge & Skills,"Following Instructions v1 - UK (R1). This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.. Job Levels: Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor. Test Includes: Knowledge & Skills. Duration: Not Specified. Remote: Yes. Adaptive: No",K,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor",English International,This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.
